,Latitude,Longitude,temperature
207,48.76962,16.57907,1.19
208,48.65274,16.68857,2.72
209,48.64235,16.91008,1.77
210,48.71782,16.73802,2.42
211,48.65905,16.29276,2.37
212,48.75624,16.48895,1.17
213,48.60104,16.69909,2.69
214,47.62445,16.12909,5
215,47.71921,16.0477,5
216,47.67577,15.96126,5
217,47.59335,16.11146,5
218,47.68784,16.13284,5
219,48.3645,15.76486,5
220,48.22378,15.9221,5
221,48.21244,15.49953,1.75
222,48.23876,15.75693,5
223,47.98752,15.34941,1.75
224,48.25524,15.57667,1.75
225,48.16057,15.69684,5
226,48.07609,15.14242,1.37
227,48.07145,15.07636,4
228,48.13887,15.1539,1.37
229,47.8123,14.93087,1
230,47.99234,15.02266,4
231,47.94176,15.10884,1.37
232,47.87215,15.13988,1.37
233,47.85549,15.02166,1.37
234,48.07228,15.2193,1.37
235,48.40334,15.99124,5
236,48.29268,15.91375,5
237,48.44304,15.99173,5
238,48.30802,16.13582,5
239,48.34132,16.21677,5
240,48.2908,16.0003,5
241,48.3815,15.87967,5
242,48.40005,15.80171,5
243,48.31306,16.01521,5
244,48.33434,16.07461,5
245,48.34537,15.92109,5
246,47.89156,15.9848,5
247,47.90629,16.26439,5
248,47.82267,16.18764,5
249,47.50538,16.24059,1.22
250,47.83469,16.27807,5
251,48.82022,15.29745,1.7
252,48.80018,15.41873,2
253,48.87893,15.41678,2
254,48.84213,15.50062,2
255,48.85541,15.29359,2
256,48.75378,15.19055,1.2
257,48.77053,15.28215,1.2
258,48.13488,16.54314,3.92
259,48.21749,16.16497,5
260,48.02486,16.50221,3.93
261,48.09209,16.44133,3.92
262,48.29479,16.34169,3.93
263,48.01831,16.47169,3.92
264,48.02618,16.42988,3.92
265,48.18568,16.12418,5
266,47.97198,14.76144,4
267,48.72279,15.32834,1.7
268,48.61294,15.50004,1.7
269,48.57391,14.97148,1.2
270,48.37416,15.15613,1.2
271,48.74863,15.2673,1.2
272,48.61326,15.18571,1.2
273,48.26738,16.71371,3.99
274,48.43138,15.20543,1.2
275,48.04677,16.95635,4.06
276,47.94093,15.12756,1.37
277,48.46052,16.24481,5
278,48.06439,14.4342,4
279,48.26025,13.21181,3
280,48.19046,13.30085,3.52
281,48.26558,13.05906,3
282,48.07096,12.9814,3
283,48.04698,12.91708,3
284,48.17238,13.1265,3
285,48.14775,13.19689,3
286,48.12578,13.13285,3
287,48.20245,13.1141,3
288,48.04442,12.82545,3
289,48.23244,13.27302,3.52
290,48.36247,14.01559,4
291,48.32351,14.04812,4
292,48.49503,14.5075,4
293,48.416,14.61431,4
294,48.43133,14.53969,4
295,48.39551,14.82922,4
296,48.53293,14.82683,4
297,48.42013,14.4762,4
298,48.34639,14.72267,4
299,48.35355,14.52652,4
300,48.4935,14.57479,4
301,48.32261,14.63093,4
302,48.42937,14.77819,4
303,48.35437,14.4621,4
304,48.47512,14.72851,4
305,47.66679,13.60884,3
306,47.725,13.64875,3.53
307,47.81239,13.78241,3.5
308,47.9418,13.8029,3.47
309,47.91696,13.97822,4
310,48.01795,13.91073,4
311,48.15655,13.76582,3.44
312,48.19244,13.65443,3.46
313,48.22465,13.73526,4
314,48.3854,13.75476,4
315,48.27393,13.73888,4
316,48.25492,13.59233,3.46
317,48.35568,13.87198,4
318,48.24159,13.96854,4
319,48.19115,13.70822,3.45
320,47.70928,14.16593,4
321,47.89459,14.25599,4
322,47.96379,13.99735,4
323,48.05245,14.06786,4
324,47.98116,14.27568,4
325,48.00617,14.11891,4
326,47.72326,14.30264,2.17
327,48.23703,14.41178,4
328,48.14744,14.46791,4
329,48.15205,14.23062,4
330,48.23223,14.87601,4
